VIN,timestamp,latitude,longitude,temperature,rain_intensity,solar_intensity
1277000002,2020-03-31T00:00:00Z,52.525861,13.416833,6.5,0.0,175
1277000002,2020-03-31T00:03:00Z,52.525862,13.416834,6.5,0.0,175
1277000002,2020-03-31T00:06:00Z,52.525863,13.416835,6.5,0.0,175
1277000002,2020-03-31T00:09:00Z,52.525864,13.416836,6.5,0.0,175
1277000002,2020-03-31T00:12:00Z,52.525865,13.416837,6.5,0.0,175
1277000002,2020-03-31T00:15:00Z,52.525866,13.416838,6.5,0.1,175
1277000002,2020-03-31T00:18:00Z,52.525867,13.416839,6.5,0.1,175
1277000002,2020-03-31T00:21:00Z,52.525868,13.41684,6.5,0.1,175
1277000002,2020-03-31T00:24:00Z,52.525869,13.416841,6.5,0.1,175
1277000002,2020-03-31T00:27:00Z,52.52587,13.416842,6.5,0.1,175
1277000002,2020-03-31T00:30:00Z,52.525871,13.416843,6.5,0.1,175
1277000002,2020-03-31T00:33:00Z,52.525872,13.416844,6.5,0.1,175
1277000002,2020-03-31T00:36:00Z,52.525873,13.416845,6.5,0.1,175
1277000002,2020-03-31T00:39:00Z,52.525874,13.416846,6.5,0.1,175
1277000002,2020-03-31T00:42:00Z,52.525875,13.416847,6.5,0.2,175
1277000002,2020-03-31T00:45:00Z,52.525876,13.416848,6.5,0.2,175
1277000002,2020-03-31T00:48:00Z,52.525877,13.416849,6.5,0.2,175
1277000002,2020-03-31T00:51:00Z,52.525878,13.41685,6.5,0.2,175
1277000002,2020-03-31T00:54:00Z,52.525879,13.416851,6.5,0.2,175
1277000002,2020-03-31T00:57:00Z,52.52588,13.416852,6.5,0.2,175
1277000002,2020-03-31T01:00:00Z,52.525881,13.416853,7.0,0.2,175
1277000002,2020-03-31T01:03:00Z,52.525882,13.416854,7.0,0.2,175
1277000002,2020-03-31T01:06:00Z,52.525883,13.416855,7.0,0.2,175
1277000002,2020-03-31T01:09:00Z,52.525884,13.416856,7.0,0.2,175
1277000002,2020-03-31T01:12:00Z,52.525885,13.416857,7.0,0.2,175
1277000002,2020-03-31T01:15:00Z,52.525886,13.416858,7.0,0.30000000000000004,175
1277000002,2020-03-31T01:18:00Z,52.525887,13.416859,7.0,0.30000000000000004,175
1277000002,2020-03-31T01:21:00Z,52.525888,13.41686,7.0,0.30000000000000004,175
1277000002,2020-03-31T01:24:00Z,52.525889,13.416861,7.0,0.30000000000000004,175
1277000002,2020-03-31T01:27:00Z,52.52589,13.416862,7.0,0.30000000000000004,175
1277000002,2020-03-31T01:30:00Z,52.525891,13.416863,7.0,0.30000000000000004,175
1277000002,2020-03-31T01:33:00Z,52.525892,13.416864,7.0,0.30000000000000004,176
1277000002,2020-03-31T01:36:00Z,52.525893,13.416865,7.0,0.30000000000000004,176
1277000002,2020-03-31T01:39:00Z,52.525894,13.416866,7.0,0.30000000000000004,176
1277000002,2020-03-31T01:42:00Z,52.525895,13.416867,7.0,0.4,176
1277000002,2020-03-31T01:45:00Z,52.525896,13.416868,7.0,0.4,176
1277000002,2020-03-31T01:48:00Z,52.525897,13.416869,7.0,0.4,176
1277000002,2020-03-31T01:51:00Z,52.525898,13.41687,7.5,0.4,176
1277000002,2020-03-31T01:54:00Z,52.525899,13.416871,7.5,0.4,176
1277000002,2020-03-31T01:57:00Z,52.5259,13.416872,7.5,0.4,176
1277000002,2020-03-31T02:00:00Z,52.525901,13.416873,7.5,0.4,176
1277000002,2020-03-31T02:03:00Z,52.525902,13.416874,7.5,0.4,176
1277000002,2020-03-31T02:06:00Z,52.525903,13.416875,7.5,0.4,176
1277000002,2020-03-31T02:09:00Z,52.525904,13.416876,7.5,0.5,176
1277000002,2020-03-31T02:12:00Z,52.525905,13.416877,7.5,0.5,176
1277000002,2020-03-31T02:15:00Z,52.525906,13.416878,7.5,0.5,176
1277000002,2020-03-31T02:18:00Z,52.525907,13.416879,7.5,0.5,176
1277000002,2020-03-31T02:21:00Z,52.525908,13.41688,7.5,0.5,176
1277000002,2020-03-31T02:24:00Z,52.525909,13.416881,7.5,0.5,176
1277000002,2020-03-31T02:27:00Z,52.52591,13.416882,7.5,0.5,176
1277000002,2020-03-31T02:30:00Z,52.525911,13.416883,7.5,0.5,176
1277000002,2020-03-31T02:33:00Z,52.525912,13.416884,7.5,0.5,176
1277000002,2020-03-31T02:36:00Z,52.525913,13.416885,7.5,0.5,176
1277000002,2020-03-31T02:39:00Z,52.525914,13.416886,7.5,0.5,176
1277000002,2020-03-31T02:42:00Z,52.525915,13.416887,7.5,0.5,176
1277000002,2020-03-31T02:45:00Z,52.525916,13.416888,7.5,0.6000000000000001,176
1277000002,2020-03-31T02:48:00Z,52.525917,13.416889,7.5,0.6000000000000001,176
1277000002,2020-03-31T02:51:00Z,52.525918,13.41689,7.5,0.6000000000000001,176
1277000002,2020-03-31T02:54:00Z,52.525919,13.416891,7.5,0.6000000000000001,176
1277000002,2020-03-31T02:57:00Z,52.52592,13.416892,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:00:00Z,52.525921,13.416893,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:03:00Z,52.525922,13.416894,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:06:00Z,52.525923,13.416895,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:09:00Z,52.525924,13.416896,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:12:00Z,52.525925,13.416897,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:15:00Z,52.525926,13.416898,8.0,0.6000000000000001,176
1277000002,2020-03-31T03:18:00Z,52.525927,13.416899,8.0,0.7000000000000001,176
1277000002,2020-03-31T03:21:00Z,52.525928,13.4169,8.0,0.7000000000000001,176
1277000002,2020-03-31T03:24:00Z,52.525929,13.416901,8.0,0.7000000000000001,176
1277000002,2020-03-31T03:27:00Z,52.52593,13.416902,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:30:00Z,52.525931,13.416903,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:33:00Z,52.525932,13.416904,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:36:00Z,52.525933,13.416905,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:39:00Z,52.525934,13.416906,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:42:00Z,52.525935,13.416907,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:45:00Z,52.525936,13.416908,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:48:00Z,52.525937,13.416909,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:51:00Z,52.525938,13.41691,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:54:00Z,52.525939,13.416911,8.0,0.7000000000000001,177
1277000002,2020-03-31T03:57:00Z,52.52594,13.416912,8.0,0.7000000000000001,177
1277000002,2020-03-31T04:00:00Z,52.525941,13.416913,8.0,0.7000000000000001,177
1277000002,2020-03-31T04:03:00Z,52.525942,13.416914,8.0,0.8,177
1277000002,2020-03-31T04:06:00Z,52.525943,13.416915,8.5,0.8,177
1277000002,2020-03-31T04:09:00Z,52.525944,13.416916,8.5,0.8,177
